,translate,tactic,media_dist,citizen_dist,epsilon,graph_type,ba-m,repetition,lr-intercept,lr-slope,var,start,end,delta,max,polarized
85,0,broadcast-brain,polarized,uniform,0,ba-homophilic,3,1,11.497189355651718,-0.0025514468887812415,0.1586141,11.626667,11.410055,-0.21661186,11.626667,1
87,0,broadcast-brain,polarized,uniform,0,barabasi-albert,3,1,9.987306674681099,-0.005178412096532761,0.43186647,10.023333,10.178278,0.15494537,10.242333,1
89,0,broadcast-brain,polarized,uniform,1,ba-homophilic,3,1,11.206381916460408,-0.0024489147307106807,0.365587,11.521722,11.242778,-0.27894402,11.556556,1
92,0,broadcast-brain,polarized,uniform,2,ba-homophilic,3,0,10.21530558009313,0.001435658726756928,0.3656205,10.5375,9.982722,-0.5547781,10.54761,1
94,0,broadcast-brain,polarized,uniform,2,barabasi-albert,3,0,11.52873329159721,-0.002325363935928,0.69388235,12.126667,11.985833,-0.14083385,12.3214445,1
96,0,broadcast-brain,polarized,polarized,0,ba-homophilic,3,0,11.523045481599834,0.0016034071046302759,0.7737808,11.598888,11.719,0.120111465,11.7335,1
97,0,broadcast-brain,polarized,polarized,0,ba-homophilic,3,1,12.548702717546604,-0.00034078451303335317,1.5442922,12.259443,12.427055,0.16761208,12.886278,1
98,0,broadcast-brain,polarized,polarized,0,barabasi-albert,3,0,11.202272051959376,0.00028441442083988814,0.34812102,11.236389,11.500055,0.26366615,11.500055,1
101,0,broadcast-brain,polarized,polarized,1,ba-homophilic,3,1,11.168124306076074,0.0072171164637777055,0.9091145,11.303444,11.407667,0.10422325,11.7145,1
107,0,broadcast-brain,polarized,polarized,2,barabasi-albert,3,1,12.742686668672173,-0.003918187931112574,1.341622,12.295334,12.566667,0.27133274,13.022611,1
204,0,appeal-mean,polarized,polarized,0,ba-homophilic,3,0,11.689502597394572,-0.008014831284052646,0.843758,11.609111,11.108,-0.50111103,11.737944,1
313,0,appeal-median,polarized,polarized,0,ba-homophilic,3,1,11.689893549923443,-0.007620889827676489,0.95543,11.739889,11.247499,-0.49238968,11.815222,1
336,1,broadcast-brain,uniform,uniform,0,ba-homophilic,3,0,10.284378725658893,0.003866719983821541,2.1218803,10.451111,11.486722,1.0356112,11.590778,1
340,1,broadcast-brain,uniform,uniform,1,ba-homophilic,3,0,10.772978463323948,-0.0033898169746226304,3.8232453,9.701111,10.517,0.81588936,12.130722,1
344,1,broadcast-brain,uniform,uniform,2,ba-homophilic,3,0,12.588054105347279,0.008454391255098233,8.353525,11.179056,13.003057,1.8240004,14.807554,1
348,1,broadcast-brain,uniform,polarized,0,ba-homophilic,3,0,15.496233411504132,-0.0005810155911682911,5.809249,11.805278,14.989334,3.1840563,16.276001,1
350,1,broadcast-brain,uniform,polarized,0,barabasi-albert,3,0,10.765876511103428,-0.0019929714979629166,8.868667,11.925778,10.140722,-1.7850561,12.899389,1
351,1,broadcast-brain,uniform,polarized,0,barabasi-albert,3,1,10.289507887482104,-0.007691204709704645,7.3792725,12.025278,10.295778,-1.7294998,12.025278,1
356,1,broadcast-brain,uniform,polarized,2,ba-homophilic,3,0,13.43698731159193,-0.005542106455807232,10.780574,11.974444,12.249778,0.2753334,14.745,1
359,1,broadcast-brain,uniform,polarized,2,barabasi-albert,3,1,12.01764716857519,0.00979154379659109,4.060748,11.165556,12.791777,1.6262207,14.233111,1
411,1,broadcast-brain,polarized,uniform,0,barabasi-albert,3,1,10.504702284684907,-0.003898808233338783,2.9938805,10.016389,9.277945,-0.7384443,11.937611,1
412,1,broadcast-brain,polarized,uniform,1,ba-homophilic,3,0,9.740139944700815,-0.0059873851068419056,1.7805882,11.509723,9.779388,-1.7303343,11.509723,1
418,1,broadcast-brain,polarized,uniform,2,barabasi-albert,3,0,11.66838423195288,-0.00701972279613374,6.563856,11.379333,11.628279,0.24894619,13.566722,1
421,1,broadcast-brain,polarized,polarized,0,ba-homophilic,3,1,12.463380720101151,-0.0020223774629480685,5.702592,11.918389,12.9233885,1.0049992,14.1015,1
422,1,broadcast-brain,polarized,polarized,0,barabasi-albert,3,0,11.71605389654007,0.005315668097448565,3.7149732,12.361888,12.125611,-0.23627663,14.289612,1
423,1,broadcast-brain,polarized,polarized,0,barabasi-albert,3,1,10.025292228969155,0.007977027116318093,3.5672219,11.498889,9.876222,-1.6226673,12.056055,1
425,1,broadcast-brain,polarized,polarized,1,ba-homophilic,3,1,11.643774412336393,-0.0012097162790427921,4.2829437,12.523832,10.853167,-1.6706657,13.610499,1
428,1,broadcast-brain,polarized,polarized,2,ba-homophilic,3,0,10.842755886584206,0.005576820805061995,7.8760676,11.791779,12.276834,0.48505497,12.877611,1
430,1,broadcast-brain,polarized,polarized,2,barabasi-albert,3,0,10.706609967607179,-0.000820652025317716,5.835284,11.986444,12.658055,0.67161083,13.061557,1
431,1,broadcast-brain,polarized,polarized,2,barabasi-albert,3,1,11.57382882594343,0.0005411373328299536,4.2314596,12.024221,11.489667,-0.5345545,14.438777,1
640,1,appeal-median,polarized,polarized,1,ba-homophilic,3,0,10.322284168427526,-0.005440406540400307,3.6034756,12.223889,10.135111,-2.0887785,12.223889,1
643,1,appeal-median,polarized,polarized,1,barabasi-albert,3,1,10.268275339319334,-0.004225178282724787,3.567157,11.743334,10.110222,-1.633112,11.743334,1
658,2,broadcast-brain,uniform,normal,2,barabasi-albert,3,0,11.324283077526236,0.001814251830674946,21.47393,2.9635003,10.917,7.9535,16.418556,1
664,2,broadcast-brain,uniform,uniform,1,ba-homophilic,3,0,11.93997730568703,-0.009464711064127239,9.122463,11.694445,10.944278,-0.7501669,15.005221,1
668,2,broadcast-brain,uniform,uniform,2,ba-homophilic,3,0,10.064387820964484,0.005562834113971143,16.942165,11.760834,6.9153886,-4.845445,14.077501,1
676,2,broadcast-brain,uniform,polarized,1,ba-homophilic,3,0,8.53000190822607,-0.008336458076718713,15.997033,12.252779,7.615667,-4.637112,13.103223,1
733,2,broadcast-brain,polarized,uniform,0,ba-homophilic,3,1,11.438899022961094,-0.0018358313443973587,15.032894,12.271944,10.305834,-1.9661102,15.810277,1
735,2,broadcast-brain,polarized,uniform,0,barabasi-albert,3,1,8.641505232403901,0.0034196137303140924,16.727024,10.3122225,9.621944,-0.69027805,13.652613,1
736,2,broadcast-brain,polarized,uniform,1,ba-homophilic,3,0,11.661945101362546,0.0002699107174420278,14.336032,10.131945,14.126111,3.9941664,15.285444,1
739,2,broadcast-brain,polarized,uniform,1,barabasi-albert,3,1,11.813864477799129,-0.004905166021838984,17.415398,12.005278,9.161612,-2.843666,17.477667,1
740,2,broadcast-brain,polarized,uniform,2,ba-homophilic,3,0,9.471887524491162,0.0026164802275092367,11.142329,12.11,9.002056,-3.1079435,12.618278,1
749,2,broadcast-brain,polarized,polarized,1,ba-homophilic,3,1,9.604615168334133,0.0009434548977813031,17.839924,11.804834,9.951222,-1.853612,14.339277,1
750,2,broadcast-brain,polarized,polarized,1,barabasi-albert,3,0,12.96033882555379,-0.006031640341918396,21.210402,11.384444,13.911944,2.5275002,17.429111,1
755,2,broadcast-brain,polarized,polarized,2,barabasi-albert,3,1,9.263753100218278,-0.006613257697265078,17.6031,13.656667,9.960112,-3.6965551,13.702779,1
