,translate,zeta_media,citizen_dist,media_dist,repetition
846,0,0.5,polarized,normal,1
847,0,0.5,polarized,normal,2
848,0,0.5,polarized,normal,3
849,0,0.5,polarized,normal,4
850,0,0.75,polarized,normal,0
851,0,0.75,polarized,normal,1
852,0,0.75,polarized,normal,2
853,0,0.75,polarized,normal,3
854,0,0.75,polarized,normal,4
855,0,1,polarized,normal,0
856,0,1,polarized,normal,1
857,0,1,polarized,normal,2
858,0,1,polarized,normal,3
859,0,1,polarized,normal,4
860,0,0.25,polarized,normal,0
861,0,0.25,polarized,normal,1
862,0,0.25,polarized,normal,2
870,0,0.75,polarized,normal,0
871,0,0.75,polarized,normal,1
872,0,0.75,polarized,normal,2
873,0,0.75,polarized,normal,3
874,0,0.75,polarized,normal,4
875,0,1,polarized,normal,0
876,0,1,polarized,normal,1
877,0,1,polarized,normal,2
878,0,1,polarized,normal,3
879,0,1,polarized,normal,4
890,0,0.75,uniform,normal,0
891,0,0.75,uniform,normal,1
892,0,0.75,uniform,normal,2
893,0,0.75,uniform,normal,3
894,0,0.75,uniform,normal,4
895,0,1,uniform,normal,0
896,0,1,uniform,normal,1
897,0,1,uniform,normal,2
898,0,1,uniform,normal,3
899,0,1,uniform,normal,4
910,0,0.75,uniform,normal,0
911,0,0.75,uniform,normal,1
912,0,0.75,uniform,normal,2
913,0,0.75,uniform,normal,3
914,0,0.75,uniform,normal,4
915,0,1,uniform,normal,0
916,0,1,uniform,normal,1
917,0,1,uniform,normal,2
918,0,1,uniform,normal,3
919,0,1,uniform,normal,4
930,0,0.75,uniform,normal,0
931,0,0.75,uniform,normal,1
932,0,0.75,uniform,normal,2
933,0,0.75,uniform,normal,3
934,0,0.75,uniform,normal,4
935,0,1,uniform,normal,0
936,0,1,uniform,normal,1
937,0,1,uniform,normal,2
938,0,1,uniform,normal,3
939,0,1,uniform,normal,4
950,0,0.75,uniform,normal,0
951,0,0.75,uniform,normal,1
952,0,0.75,uniform,normal,2
953,0,0.75,uniform,normal,3
954,0,0.75,uniform,normal,4
955,0,1,uniform,normal,0
956,0,1,uniform,normal,1
957,0,1,uniform,normal,2
958,0,1,uniform,normal,3
959,0,1,uniform,normal,4
970,0,0.75,normal,polarized,0
971,0,0.75,normal,polarized,1
972,0,0.75,normal,polarized,2
973,0,0.75,normal,polarized,3
974,0,0.75,normal,polarized,4
975,0,1,normal,polarized,0
976,0,1,normal,polarized,1
977,0,1,normal,polarized,2
978,0,1,normal,polarized,3
979,0,1,normal,polarized,4
990,0,0.75,normal,polarized,0
991,0,0.75,normal,polarized,1
992,0,0.75,normal,polarized,2
993,0,0.75,normal,polarized,3
994,0,0.75,normal,polarized,4
995,0,1,normal,polarized,0
996,0,1,normal,polarized,1
997,0,1,normal,polarized,2
998,0,1,normal,polarized,3
999,0,1,normal,polarized,4
1002,0,0.25,normal,polarized,2
1010,0,0.75,normal,polarized,0
1011,0,0.75,normal,polarized,1
1012,0,0.75,normal,polarized,2
1013,0,0.75,normal,polarized,3
1014,0,0.75,normal,polarized,4
1015,0,1,normal,polarized,0
1016,0,1,normal,polarized,1
1017,0,1,normal,polarized,2
1018,0,1,normal,polarized,3
1019,0,1,normal,polarized,4
1030,0,0.75,normal,polarized,0
1031,0,0.75,normal,polarized,1
1032,0,0.75,normal,polarized,2
1033,0,0.75,normal,polarized,3
1034,0,0.75,normal,polarized,4
1035,0,1,normal,polarized,0
1036,0,1,normal,polarized,1
1037,0,1,normal,polarized,2
1038,0,1,normal,polarized,3
1039,0,1,normal,polarized,4
1050,0,0.75,polarized,polarized,0
1051,0,0.75,polarized,polarized,1
1052,0,0.75,polarized,polarized,2
1053,0,0.75,polarized,polarized,3
1054,0,0.75,polarized,polarized,4
1055,0,1,polarized,polarized,0
1056,0,1,polarized,polarized,1
1057,0,1,polarized,polarized,2
1058,0,1,polarized,polarized,3
1059,0,1,polarized,polarized,4
1070,0,0.75,polarized,polarized,0
1071,0,0.75,polarized,polarized,1
1072,0,0.75,polarized,polarized,2
1073,0,0.75,polarized,polarized,3
1074,0,0.75,polarized,polarized,4
1075,0,1,polarized,polarized,0
1076,0,1,polarized,polarized,1
1077,0,1,polarized,polarized,2
1078,0,1,polarized,polarized,3
1079,0,1,polarized,polarized,4
1090,0,0.75,polarized,polarized,0
1091,0,0.75,polarized,polarized,1
1092,0,0.75,polarized,polarized,2
1093,0,0.75,polarized,polarized,3
1094,0,0.75,polarized,polarized,4
1095,0,1,polarized,polarized,0
1096,0,1,polarized,polarized,1
1097,0,1,polarized,polarized,2
1098,0,1,polarized,polarized,3
1099,0,1,polarized,polarized,4
1110,0,0.75,polarized,polarized,0
1111,0,0.75,polarized,polarized,1
1112,0,0.75,polarized,polarized,2
1113,0,0.75,polarized,polarized,3
1114,0,0.75,polarized,polarized,4
1115,0,1,polarized,polarized,0
1116,0,1,polarized,polarized,1
1117,0,1,polarized,polarized,2
1118,0,1,polarized,polarized,3
1119,0,1,polarized,polarized,4
1130,0,0.75,uniform,polarized,0
1131,0,0.75,uniform,polarized,1
1132,0,0.75,uniform,polarized,2
1133,0,0.75,uniform,polarized,3
1134,0,0.75,uniform,polarized,4
1135,0,1,uniform,polarized,0
1136,0,1,uniform,polarized,1
1137,0,1,uniform,polarized,2
1138,0,1,uniform,polarized,3
1139,0,1,uniform,polarized,4
1150,0,0.75,uniform,polarized,0
